data,timeStamp,dataType,units,sensorType,supervisorID
0.041125,03/22/2020-17:42:25,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:25,Temperature,C,BME280,2
34.84,03/22/2020-23:42:25,Humidity,%,BME280,2
840.56,03/22/2020-23:42:25,Pressure,hPa,BME280,2
1548.62,03/22/2020-23:42:25,Elevation,m,BME280,2
207.5971731,03/22/2020-17:42:26,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041125,03/22/2020-17:42:26,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:27,Temperature,C,BME280,2
34.97,03/22/2020-23:42:27,Humidity,%,BME280,2
840.51,03/22/2020-23:42:27,Pressure,hPa,BME280,2
1548.56,03/22/2020-23:42:27,Elevation,m,BME280,2
207.5971731,03/22/2020-17:42:27,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041125,03/22/2020-17:42:27,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:28,Temperature,C,BME280,2
35.04,03/22/2020-23:42:28,Humidity,%,BME280,2
840.56,03/22/2020-23:42:28,Pressure,hPa,BME280,2
1548.8,03/22/2020-23:42:28,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:28,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:28,raw Voltage,V,ADC1115_Pyra,1
17.5,03/22/2020-23:42:29,Temperature,C,BME280,2
34.8,03/22/2020-23:42:29,Humidity,%,BME280,2
840.63,03/22/2020-23:42:29,Pressure,hPa,BME280,2
1548.25,03/22/2020-23:42:29,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:29,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:29,raw Voltage,V,ADC1115_Pyra,1
17.51,03/22/2020-23:42:30,Temperature,C,BME280,2
34.98,03/22/2020-23:42:30,Humidity,%,BME280,2
840.6,03/22/2020-23:42:30,Pressure,hPa,BME280,2
1548.77,03/22/2020-23:42:30,Elevation,m,BME280,2
207.5971731,03/22/2020-17:42:30,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041125,03/22/2020-17:42:30,raw Voltage,V,ADC1115_Pyra,1
17.5,03/22/2020-23:42:31,Temperature,C,BME280,2
34.93,03/22/2020-23:42:31,Humidity,%,BME280,2
840.64,03/22/2020-23:42:31,Pressure,hPa,BME280,2
1548.47,03/22/2020-23:42:31,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:31,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:31,raw Voltage,V,ADC1115_Pyra,1
206.9661787,03/22/2020-17:42:32,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:32,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:33,Temperature,C,BME280,2
34.92,03/22/2020-23:42:33,Humidity,%,BME280,2
840.54,03/22/2020-23:42:33,Pressure,hPa,BME280,2
1548.76,03/22/2020-23:42:33,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:33,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:33,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:34,Temperature,C,BME280,2
35.18,03/22/2020-23:42:34,Humidity,%,BME280,2
840.71,03/22/2020-23:42:34,Pressure,hPa,BME280,2
1547.45,03/22/2020-23:42:34,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:34,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:34,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:35,Temperature,C,BME280,2
34.93,03/22/2020-23:42:35,Humidity,%,BME280,2
840.61,03/22/2020-23:42:35,Pressure,hPa,BME280,2
1548.53,03/22/2020-23:42:35,Elevation,m,BME280,2
207.5971731,03/22/2020-17:42:35,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041125,03/22/2020-17:42:35,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:36,Temperature,C,BME280,2
35.07,03/22/2020-23:42:36,Humidity,%,BME280,2
840.59,03/22/2020-23:42:36,Pressure,hPa,BME280,2
1548.26,03/22/2020-23:42:36,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:36,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:36,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:37,Temperature,C,BME280,2
34.95,03/22/2020-23:42:37,Humidity,%,BME280,2
840.58,03/22/2020-23:42:37,Pressure,hPa,BME280,2
1548.04,03/22/2020-23:42:37,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:37,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:37,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:38,Temperature,C,BME280,2
35.03,03/22/2020-23:42:38,Humidity,%,BME280,2
840.7,03/22/2020-23:42:38,Pressure,hPa,BME280,2
1547.39,03/22/2020-23:42:38,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:39,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:39,raw Voltage,V,ADC1115_Pyra,1
206.9661787,03/22/2020-17:42:40,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:40,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:40,Temperature,C,BME280,2
34.97,03/22/2020-23:42:40,Humidity,%,BME280,2
840.73,03/22/2020-23:42:40,Pressure,hPa,BME280,2
1546.79,03/22/2020-23:42:40,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:41,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:41,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:41,Temperature,C,BME280,2
34.93,03/22/2020-23:42:41,Humidity,%,BME280,2
840.65,03/22/2020-23:42:41,Pressure,hPa,BME280,2
1547.68,03/22/2020-23:42:41,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:42,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:42,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:42,Temperature,C,BME280,2
34.87,03/22/2020-23:42:42,Humidity,%,BME280,2
840.65,03/22/2020-23:42:42,Pressure,hPa,BME280,2
1547.83,03/22/2020-23:42:42,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:43,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:43,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:43,Temperature,C,BME280,2
34.89,03/22/2020-23:42:43,Humidity,%,BME280,2
840.66,03/22/2020-23:42:43,Pressure,hPa,BME280,2
1547.38,03/22/2020-23:42:43,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:44,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:44,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:44,Temperature,C,BME280,2
34.91,03/22/2020-23:42:44,Humidity,%,BME280,2
840.67,03/22/2020-23:42:44,Pressure,hPa,BME280,2
1547.5,03/22/2020-23:42:44,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:45,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:45,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:45,Temperature,C,BME280,2
35.08,03/22/2020-23:42:45,Humidity,%,BME280,2
840.57,03/22/2020-23:42:45,Pressure,hPa,BME280,2
1548.39,03/22/2020-23:42:45,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:46,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:46,raw Voltage,V,ADC1115_Pyra,1
206.9661787,03/22/2020-17:42:47,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:47,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:47,Temperature,C,BME280,2
34.91,03/22/2020-23:42:47,Humidity,%,BME280,2
840.63,03/22/2020-23:42:47,Pressure,hPa,BME280,2
1548.01,03/22/2020-23:42:47,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:48,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:48,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:48,Temperature,C,BME280,2
35.01,03/22/2020-23:42:48,Humidity,%,BME280,2
840.73,03/22/2020-23:42:48,Pressure,hPa,BME280,2
1547.09,03/22/2020-23:42:48,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:49,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:49,raw Voltage,V,ADC1115_Pyra,1
17.49,03/22/2020-23:42:49,Temperature,C,BME280,2
35.06,03/22/2020-23:42:49,Humidity,%,BME280,2
840.7,03/22/2020-23:42:49,Pressure,hPa,BME280,2
1547.42,03/22/2020-23:42:49,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:50,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:50,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:50,Temperature,C,BME280,2
35.07,03/22/2020-23:42:50,Humidity,%,BME280,2
840.66,03/22/2020-23:42:50,Pressure,hPa,BME280,2
1547.63,03/22/2020-23:42:50,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:51,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:51,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:51,Temperature,C,BME280,2
34.94,03/22/2020-23:42:51,Humidity,%,BME280,2
840.61,03/22/2020-23:42:51,Pressure,hPa,BME280,2
1548.05,03/22/2020-23:42:51,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:52,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:52,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:53,Temperature,C,BME280,2
34.96,03/22/2020-23:42:53,Humidity,%,BME280,2
840.76,03/22/2020-23:42:53,Pressure,hPa,BME280,2
1546.63,03/22/2020-23:42:53,Elevation,m,BME280,2
207.5971731,03/22/2020-17:42:53,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041125,03/22/2020-17:42:53,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:54,Temperature,C,BME280,2
34.94,03/22/2020-23:42:54,Humidity,%,BME280,2
840.61,03/22/2020-23:42:54,Pressure,hPa,BME280,2
1548.13,03/22/2020-23:42:54,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:54,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:54,raw Voltage,V,ADC1115_Pyra,1
206.9661787,03/22/2020-17:42:55,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:55,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:55,Temperature,C,BME280,2
34.95,03/22/2020-23:42:55,Humidity,%,BME280,2
840.67,03/22/2020-23:42:55,Pressure,hPa,BME280,2
1547.63,03/22/2020-23:42:55,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:56,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:56,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:56,Temperature,C,BME280,2
35,03/22/2020-23:42:56,Humidity,%,BME280,2
840.59,03/22/2020-23:42:56,Pressure,hPa,BME280,2
1548.51,03/22/2020-23:42:56,Elevation,m,BME280,2
206.9661787,03/22/2020-17:42:57,solar irradiance,w/m^2,ADC1115_Pyra,1
0.041,03/22/2020-17:42:57,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:57,Temperature,C,BME280,2
34.94,03/22/2020-23:42:57,Humidity,%,BME280,2
840.44,03/22/2020-23:42:57,Pressure,hPa,BME280,2
1550.06,03/22/2020-23:42:57,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:58,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:58,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:42:58,Temperature,C,BME280,2
34.96,03/22/2020-23:42:58,Humidity,%,BME280,2
840.51,03/22/2020-23:42:58,Pressure,hPa,BME280,2
1549.56,03/22/2020-23:42:58,Elevation,m,BME280,2
206.3351843,03/22/2020-17:42:59,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:42:59,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:00,Temperature,C,BME280,2
34.83,03/22/2020-23:43:00,Humidity,%,BME280,2
840.29,03/22/2020-23:43:00,Pressure,hPa,BME280,2
1550.99,03/22/2020-23:43:00,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:00,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:00,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:01,Temperature,C,BME280,2
35.07,03/22/2020-23:43:01,Humidity,%,BME280,2
840.41,03/22/2020-23:43:01,Pressure,hPa,BME280,2
1550.08,03/22/2020-23:43:01,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:01,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:01,raw Voltage,V,ADC1115_Pyra,1
206.3351843,03/22/2020-17:43:02,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:02,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:02,Temperature,C,BME280,2
35.17,03/22/2020-23:43:02,Humidity,%,BME280,2
840.55,03/22/2020-23:43:02,Pressure,hPa,BME280,2
1548.42,03/22/2020-23:43:02,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:03,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:03,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:03,Temperature,C,BME280,2
35.05,03/22/2020-23:43:03,Humidity,%,BME280,2
840.41,03/22/2020-23:43:03,Pressure,hPa,BME280,2
1549.02,03/22/2020-23:43:03,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:04,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:04,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:04,Temperature,C,BME280,2
34.92,03/22/2020-23:43:04,Humidity,%,BME280,2
840.61,03/22/2020-23:43:04,Pressure,hPa,BME280,2
1547.88,03/22/2020-23:43:04,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:05,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:05,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:05,Temperature,C,BME280,2
34.95,03/22/2020-23:43:05,Humidity,%,BME280,2
840.5,03/22/2020-23:43:05,Pressure,hPa,BME280,2
1548.58,03/22/2020-23:43:05,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:06,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:06,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:07,Temperature,C,BME280,2
34.96,03/22/2020-23:43:07,Humidity,%,BME280,2
840.43,03/22/2020-23:43:07,Pressure,hPa,BME280,2
1549.7,03/22/2020-23:43:07,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:07,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:07,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:08,Temperature,C,BME280,2
35.1,03/22/2020-23:43:08,Humidity,%,BME280,2
840.53,03/22/2020-23:43:08,Pressure,hPa,BME280,2
1548.52,03/22/2020-23:43:08,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:08,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:08,raw Voltage,V,ADC1115_Pyra,1
205.0731954,03/22/2020-17:43:09,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:09,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:09,Temperature,C,BME280,2
34.94,03/22/2020-23:43:09,Humidity,%,BME280,2
840.46,03/22/2020-23:43:09,Pressure,hPa,BME280,2
1549.67,03/22/2020-23:43:09,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:10,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:10,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:10,Temperature,C,BME280,2
35.01,03/22/2020-23:43:10,Humidity,%,BME280,2
840.65,03/22/2020-23:43:10,Pressure,hPa,BME280,2
1547.7,03/22/2020-23:43:10,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:11,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:11,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:11,Temperature,C,BME280,2
34.95,03/22/2020-23:43:11,Humidity,%,BME280,2
840.73,03/22/2020-23:43:11,Pressure,hPa,BME280,2
1546.84,03/22/2020-23:43:11,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:12,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:12,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:13,Temperature,C,BME280,2
34.85,03/22/2020-23:43:13,Humidity,%,BME280,2
840.41,03/22/2020-23:43:13,Pressure,hPa,BME280,2
1550.32,03/22/2020-23:43:13,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:13,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:13,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:14,Temperature,C,BME280,2
35.06,03/22/2020-23:43:14,Humidity,%,BME280,2
840.35,03/22/2020-23:43:14,Pressure,hPa,BME280,2
1549.99,03/22/2020-23:43:14,Elevation,m,BME280,2
206.3351843,03/22/2020-17:43:14,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040875,03/22/2020-17:43:14,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:15,Temperature,C,BME280,2
35.08,03/22/2020-23:43:15,Humidity,%,BME280,2
840.53,03/22/2020-23:43:15,Pressure,hPa,BME280,2
1548.45,03/22/2020-23:43:15,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:15,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:15,raw Voltage,V,ADC1115_Pyra,1
204.4422009,03/22/2020-17:43:16,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:16,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:16,Temperature,C,BME280,2
34.93,03/22/2020-23:43:16,Humidity,%,BME280,2
840.46,03/22/2020-23:43:16,Pressure,hPa,BME280,2
1548.69,03/22/2020-23:43:16,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:17,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:17,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:17,Temperature,C,BME280,2
35.02,03/22/2020-23:43:17,Humidity,%,BME280,2
840.57,03/22/2020-23:43:17,Pressure,hPa,BME280,2
1548.28,03/22/2020-23:43:17,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:18,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:18,raw Voltage,V,ADC1115_Pyra,1
17.48,03/22/2020-23:43:18,Temperature,C,BME280,2
34.83,03/22/2020-23:43:18,Humidity,%,BME280,2
840.71,03/22/2020-23:43:18,Pressure,hPa,BME280,2
1547.23,03/22/2020-23:43:18,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:19,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:19,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:20,Temperature,C,BME280,2
35.07,03/22/2020-23:43:20,Humidity,%,BME280,2
840.67,03/22/2020-23:43:20,Pressure,hPa,BME280,2
1547.45,03/22/2020-23:43:20,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:20,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:20,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:21,Temperature,C,BME280,2
34.94,03/22/2020-23:43:21,Humidity,%,BME280,2
840.61,03/22/2020-23:43:21,Pressure,hPa,BME280,2
1547.58,03/22/2020-23:43:21,Elevation,m,BME280,2
205.7041898,03/22/2020-17:43:21,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:21,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:22,Temperature,C,BME280,2
34.92,03/22/2020-23:43:22,Humidity,%,BME280,2
840.55,03/22/2020-23:43:22,Pressure,hPa,BME280,2
1548,03/22/2020-23:43:22,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:22,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:22,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:23,Temperature,C,BME280,2
34.79,03/22/2020-23:43:23,Humidity,%,BME280,2
840.59,03/22/2020-23:43:23,Pressure,hPa,BME280,2
1547.98,03/22/2020-23:43:23,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:23,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:23,raw Voltage,V,ADC1115_Pyra,1
205.7041898,03/22/2020-17:43:24,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04075,03/22/2020-17:43:24,raw Voltage,V,ADC1115_Pyra,1
17.47,03/22/2020-23:43:24,Temperature,C,BME280,2
35,03/22/2020-23:43:24,Humidity,%,BME280,2
840.64,03/22/2020-23:43:24,Pressure,hPa,BME280,2
1547.81,03/22/2020-23:43:24,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:25,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:25,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:25,Temperature,C,BME280,2
35.01,03/22/2020-23:43:25,Humidity,%,BME280,2
840.65,03/22/2020-23:43:25,Pressure,hPa,BME280,2
1547.32,03/22/2020-23:43:25,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:26,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:26,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:27,Temperature,C,BME280,2
34.91,03/22/2020-23:43:27,Humidity,%,BME280,2
840.55,03/22/2020-23:43:27,Pressure,hPa,BME280,2
1548.45,03/22/2020-23:43:27,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:27,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:27,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:28,Temperature,C,BME280,2
35.04,03/22/2020-23:43:28,Humidity,%,BME280,2
840.49,03/22/2020-23:43:28,Pressure,hPa,BME280,2
1548.17,03/22/2020-23:43:28,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:28,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:28,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:29,Temperature,C,BME280,2
34.8,03/22/2020-23:43:29,Humidity,%,BME280,2
840.42,03/22/2020-23:43:29,Pressure,hPa,BME280,2
1549.68,03/22/2020-23:43:29,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:29,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:29,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:30,Temperature,C,BME280,2
35.13,03/22/2020-23:43:30,Humidity,%,BME280,2
840.52,03/22/2020-23:43:30,Pressure,hPa,BME280,2
1548.82,03/22/2020-23:43:30,Elevation,m,BME280,2
203.8112065,03/22/2020-17:43:30,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040375,03/22/2020-17:43:30,raw Voltage,V,ADC1115_Pyra,1
204.4422009,03/22/2020-17:43:31,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:31,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:31,Temperature,C,BME280,2
34.99,03/22/2020-23:43:31,Humidity,%,BME280,2
840.67,03/22/2020-23:43:31,Pressure,hPa,BME280,2
1547.45,03/22/2020-23:43:31,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:32,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:32,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:33,Temperature,C,BME280,2
35.08,03/22/2020-23:43:33,Humidity,%,BME280,2
840.64,03/22/2020-23:43:33,Pressure,hPa,BME280,2
1547.63,03/22/2020-23:43:33,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:33,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:33,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:34,Temperature,C,BME280,2
35.01,03/22/2020-23:43:34,Humidity,%,BME280,2
840.74,03/22/2020-23:43:34,Pressure,hPa,BME280,2
1546.32,03/22/2020-23:43:34,Elevation,m,BME280,2
205.0731954,03/22/2020-17:43:34,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040625,03/22/2020-17:43:34,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:35,Temperature,C,BME280,2
34.97,03/22/2020-23:43:35,Humidity,%,BME280,2
840.72,03/22/2020-23:43:35,Pressure,hPa,BME280,2
1547.04,03/22/2020-23:43:35,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:35,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:35,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:36,Temperature,C,BME280,2
35.03,03/22/2020-23:43:36,Humidity,%,BME280,2
840.56,03/22/2020-23:43:36,Pressure,hPa,BME280,2
1547.63,03/22/2020-23:43:36,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:36,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:36,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:37,Temperature,C,BME280,2
34.85,03/22/2020-23:43:37,Humidity,%,BME280,2
840.59,03/22/2020-23:43:37,Pressure,hPa,BME280,2
1548.24,03/22/2020-23:43:37,Elevation,m,BME280,2
203.8112065,03/22/2020-17:43:37,solar irradiance,w/m^2,ADC1115_Pyra,1
0.040375,03/22/2020-17:43:37,raw Voltage,V,ADC1115_Pyra,1
204.4422009,03/22/2020-17:43:38,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:38,raw Voltage,V,ADC1115_Pyra,1
17.46,03/22/2020-23:43:38,Temperature,C,BME280,2
35.11,03/22/2020-23:43:38,Humidity,%,BME280,2
840.73,03/22/2020-23:43:38,Pressure,hPa,BME280,2
1546.93,03/22/2020-23:43:38,Elevation,m,BME280,2
204.4422009,03/22/2020-17:43:39,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0405,03/22/2020-17:43:39,raw Voltage,V,ADC1115_Pyra,1
